Базовый				
Услуга				Цена
ЛРП Эфаклар Дуо+М крем для проблемной кожи 40 мл				290000,00
ЛРП Эфаклар Дуо+М тонирующий светлый крем 40 мл				325000,00
ЛРП Эфаклар Дуо+М крем для проблемной кожи спф30 40мл				325000,00
ЛРП Эфаклар Дуо H ISO Biome крем 40мл				335000,00
ЛРП Эфаклар +М очищающий гель 200мл				235000,00
ЛРП Эфаклар +М очищающий гель 400мл				350000,00
ЛРП Эфаклар H ISO Biome очищающий гель 200мл				290000,00
ЛРП Эфаклар микро очищающий гель 400мл				360000,00
ЛРП Эфаклар H ISO Biome очищающий гель 200мл				292000,00
ЛРП Эфаклар H ISO Biomeочищающий гель 390 мл				435000,00
ЛРП толеран сенсетив крем 40мл				300000,00
ЛРП толеран сенсетив риш крем 40 мл				300000,00
ЛРП толеран очищающий крем-гель 400мл				380000,00
ЛРП толеран очищающий гель- пенка 400мл				350000,00
ЛРП Мела В3 сыворотка 30мл				800000,00
ЛРП Мела В3 спф 30 крем 40мл				660000,00
ЛРП мела В3 микропилинг гель 200мл				370000,00
ДРП витамин С12 сыворотка 30мл				705000,00
ЛРП Гиалу В5 сыворотка 30мл				680000,00
ЛРП толеран дермаллерго				472000,00
ЛР толеран дермаллерго флюид 40мл				440000,00
ЛРП гиалу B5 средство для контура глаз 15мл				570000,00
ЛРп гиалу B5 сыворотка для вокруг глаз 15мл				630000,00
Лаборатория				
17-ОН Прогестерон				80000,00
Cytomegalovirus (ЦМВ) IgG				70000,00
DHEA-S				80000,00
HBsAg (гепатит В)				50000,00
HVC (гепатит С)				40000,00
HIV (ВИЧ)				60000,00
RW (сифилис)				45000,00
АКТГ				165000,00
Аланинаминотрансфераза (АЛТ)				28000,00
Альбумин				45000,00
Антистрептолизин АСЛО				70000,00
Аскарида				90000,00
Аспартатаминотрасфераза (АСТ)				25000,00
АТ к ТПО				65000,00
Общий Билирубин				30000,00
Витамин Д3				160000,00
Герпес Herpes Simplex 1/2 IgG				70000,00
Гликозированный гемоглобин				70000,00
Глюкоза				25000,00
Железа (Кровь)				50000,00
Инсулин				114000,00
Калий				30000,00
Кальций				30000,00
Коагулограмма				235000,00
Копрология				35000,00
Кортизол				70000,00
Креатинин				40000,00
ЛГ				80000,00
Магний				30000,00
Мазок из уретры				130000,00
Мочевина				40000,00
Общий анализ крови (развернутый)				30000,00
Общий анализ мочи				45000,00
Общий белок				45000,00
Пролактин				80000,00
Ревматоидный фактор				54000,00
С реактивный белок				40000,00
Соскоб на грибы				80000,00
Соскоб на демодекоз				80000,00
Соскоб на чесотки				80000,00
С-реактивный белок GPR				70000,00
Тестостерон				80000,00
Тиреотропный гармон (TTG)				80000,00
Трийодтрионин свободный (FT3)				80000,00
Триоксин свободный (FT4)				80000,00
Ферритин				115000,00
ФСГ				80000,00
ХГЧ				80000,00
Холестерин Общ.				130000,00
Биопсия				600000,00
лактатдегидрогеназа (ЛДГ)				26000,00
ТТГ общий				85000,00
Трийодтиронин Т3 общий				85000,00
Тироксин общий Т4				85000,00
Антитела к тиреоглобулину (АТ-ТГ)				85000,00
Антитела к териопироксидазе (АТ-ТПО)				95000,00
Бак иследование носа				60000,00
Бак исследование со слизистой оболочки из зева				120000,00
Трийодтиронин Т3 свободный				85000,00
Тироксин свободный Т4				85000,00
Кал на лямблии и другие простейшие				55000,00
Антитела к растворимому антигену печенипеченочно-панкреатическому антигену (Anti SLA LP IgG)				195000,00
Антинуклеарные антитела (АНА)				220000,00
гистологическое исследование				210000,00
Анализ кала на простейшие, в т.ч. лямблии				70000,00
Общий анализ крови (24 показателей)				55000,00
Общий анализ крови без лейкоформулы				50000,00
Общий анализ крови + тромбоциты				65000,00
Скорость оседания эритроцитов (СОЭ)				30000,00
Мазок на эозинофилы				45000,00
Концентрация гемоглобина				42000,00
LE-клетки				45000,00
Антитела к Rh-фактору				65000,00
Группа крови – Резус фактор				58000,00
Общий анализ мочи				30000,00
3х-стаканная проба мочи				50000,00
Моча по Нечипоренко				50000,00
Моча по Зимницкому				50000,00
Моча на желчные пигменты				45000,00
Моча на ацетон				45000,00
Микроальбумин в моче				55000,00
Белок в моче				45000,00
ХГ в моче				30000,00
Глюкоза в моче				35000,00
Цитология осадка мочи				68000,00
Общий мазок на флору				62995,00
Цитология мазка (PAP-тест)				90000,00
Мазок на ВПЧ (HPV)				57000,00
Цитологическое исслед. на атипические клетки				60000,00
Спермограмма				75000,00
Сок простаты				66000,00
Нативный мазок на трихомониаз				40000,00
Женский мазок на лептотрихоз				45000,00
Общий анализ мокроты				50000,00
Назальный секрет (Эозинофилы)				45000,00
Демодекоз				55000,00
Анализ на грибок (с гладкой кожи и				50000,00
волосистой части головы)				35000,00
Чесоточный клещ				50000,00
Лейшманиоз				50000,00
Тест на совместимость (Курцрока-Миллера)				58000,00
Проба Шуварского – Симса Гунера				58000,00
Проба на антиспермальные антитела				58000,00
MAR - тест				247000,00
Анализ кала на яйца гельминтов				55000,00
Копрограмма (общий анализ кала)				55000,00
Анализ кала на скрытую кровь				58000,00
Соскоб на энтеробиоз (острицы)				50000,00
Время Свертываемости крови				15000,00
Длительность кровотечения				15000,00
Протромбиновое время (PT)				35000,00
Тромбо динамика				300000,00
Фибриноген				45000,00
Коалиновое время				35000,00
АЧТВ (активное частичное тромбопластиновое время)				40000,00
МНО				40000,00
ПТИ				40000,00
Тромбиновое время (TT)				45000,00
